,Country,Code,Year,Population
0,Aruba,ABW,2004,98737.0
1,Afghanistan,AFG,2004,24726684.0
2,Angola,AGO,2004,18758145.0
3,Albania,ALB,2004,3026939.0
4,Andorra,AND,2004,76244.0
5,Arab World,ARB,2004,307862843.0
6,United Arab Emirates,ARE,2004,4068570.0
7,Argentina,ARG,2004,38491972.0
8,Armenia,ARM,2004,3000720.0
9,American Samoa,ASM,2004,59681.0
10,Antigua and Barbuda,ATG,2004,80336.0
11,Australia,AUS,2004,20127400.0
12,Austria,AUT,2004,8171966.0
13,Azerbaijan,AZE,2004,8306500.0
14,Burundi,BDI,2004,7131693.0
15,Belgium,BEL,2004,10421137.0
16,Benin,BEN,2004,7750004.0
17,Burkina Faso,BFA,2004,13030569.0
18,Bangladesh,BGD,2004,136986432.0
19,Bulgaria,BGR,2004,7716860.0
20,Bahrain,BHR,2004,829844.0
21,"Bahamas, The",BHS,2004,318894.0
22,Bosnia and Herzegovina,BIH,2004,3764194.0
23,Belarus,BLR,2004,9730146.0
24,Belize,BLZ,2004,276504.0
25,Bermuda,BMU,2004,63740.0
26,Bolivia,BOL,2004,9069039.0
27,Brazil,BRA,2004,184006481.0
28,Barbados,BRB,2004,275284.0
29,Brunei Darussalam,BRN,2004,359433.0
30,Bhutan,BTN,2004,638815.0
31,Botswana,BWA,2004,1765527.0
32,Central African Republic,CAF,2004,3959875.0
33,Canada,CAN,2004,31940655.0
34,Central Europe and the Baltics,CEB,2004,106331716.0
35,Switzerland,CHE,2004,7389625.0
36,Channel Islands,CHI,2004,150716.0
37,Chile,CHL,2004,16014971.0
38,China,CHN,2004,1296075000.0
39,Cote d'Ivoire,CIV,2004,17970494.0
40,Cameroon,CMR,2004,17259322.0
41,"Congo, Dem. Rep.",COD,2004,53068880.0
42,"Congo, Rep.",COG,2004,3510468.0
43,Colombia,COL,2004,42075955.0
44,Comoros,COM,2004,597228.0
45,Cabo Verde,CPV,2004,456617.0
46,Costa Rica,CRI,2004,4225155.0
47,Caribbean small states,CSS,2004,6696953.0
48,Cuba,CUB,2004,11250365.0
49,Curacao,CUW,2004,134192.0
50,Cayman Islands,CYM,2004,47902.0
51,Cyprus,CYP,2004,1010408.0
52,Czech Republic,CZE,2004,10197101.0
53,Germany,DEU,2004,82516260.0
54,Djibouti,DJI,2004,771603.0
55,Dominica,DMA,2004,70382.0
56,Denmark,DNK,2004,5404523.0
57,Dominican Republic,DOM,2004,8974444.0
58,Algeria,DZA,2004,32692163.0
59,East Asia & Pacific (excluding high income),EAP,2004,1880248895.0
60,Early-demographic dividend,EAR,2004,2646483565.0
61,East Asia & Pacific,EAS,2004,2115458616.0
62,Europe & Central Asia (excluding high income),ECA,2004,370083723.0
63,Europe & Central Asia,ECS,2004,868808156.0
64,Ecuador,ECU,2004,13596388.0
65,"Egypt, Arab Rep.",EGY,2004,74172073.0
66,Euro area,EMU,2004,327682505.0
67,Eritrea,ERI,2004,2719803.0
68,Spain,ESP,2004,42921895.0
69,Estonia,EST,2004,1362550.0
70,Ethiopia,ETH,2004,74239505.0
71,European Union,EUU,2004,434040236.0
72,Fragile and conflict affected situations,FCS,2004,532634908.0
73,Finland,FIN,2004,5228172.0
74,Fiji,FJI,2004,817860.0
75,France,FRA,2004,62704895.0
76,Faroe Islands,FRO,2004,47600.0
77,"Micronesia, Fed. Sts.",FSM,2004,106625.0
78,Gabon,GAB,2004,1353795.0
79,United Kingdom,GBR,2004,59987905.0
80,Georgia,GEO,2004,3927340.0
81,Ghana,GHA,2004,21272323.0
82,Gibraltar,GIB,2004,32928.0
83,Guinea,GIN,2004,8925743.0
84,"Gambia, The",GMB,2004,1496527.0
85,Guinea-Bissau,GNB,2004,1313492.0
86,Equatorial Guinea,GNQ,2004,716949.0
87,Greece,GRC,2004,10955141.0
88,Grenada,GRD,2004,104347.0
89,Greenland,GRL,2004,56911.0
90,Guatemala,GTM,2004,12682108.0
91,Guam,GUM,2004,158101.0
92,Guyana,GUY,2004,745737.0
93,High income,HIC,2004,1129635680.0
94,"Hong Kong SAR, China",HKG,2004,6783500.0
95,Honduras,HND,2004,7282953.0
96,Heavily indebted poor countries (HIPC),HPC,2004,528444632.0
97,Croatia,HRV,2004,4304600.0
98,Haiti,HTI,2004,9047077.0
99,Hungary,HUN,2004,10107146.0
100,IBRD only,IBD,2004,4166322559.0
101,IDA & IBRD total,IBT,2004,5352930964.0
102,IDA total,IDA,2004,1186608405.0
103,IDA blend,IDB,2004,395320114.0
104,Indonesia,IDN,2004,223285676.0
105,IDA only,IDX,2004,791288291.0
106,Isle of Man,IMN,2004,79520.0
107,India,IND,2004,1129623456.0
108,Not classified,INX,2004,
109,Ireland,IRL,2004,4070262.0
110,"Iran, Islamic Rep.",IRN,2004,68951281.0
111,Iraq,IRQ,2004,26313838.0
112,Iceland,ISL,2004,292074.0
113,Israel,ISR,2004,6809000.0
114,Italy,ITA,2004,57685327.0
115,Jamaica,JAM,2004,2725015.0
116,Jordan,JOR,2004,5580244.0
117,Japan,JPN,2004,127761000.0
118,Kazakhstan,KAZ,2004,15012985.0
119,Kenya,KEN,2004,35635271.0
120,Kyrgyz Republic,KGZ,2004,5104700.0
121,Cambodia,KHM,2004,13066469.0
122,Kiribati,KIR,2004,90499.0
123,St. Kitts and Nevis,KNA,2004,46324.0
124,"Korea, Rep.",KOR,2004,48082519.0
125,Kuwait,KWT,2004,2200492.0
126,Latin America & Caribbean (excluding high income),LAC,2004,520642949.0
127,Lao PDR,LAO,2004,5662208.0
128,Lebanon,LBN,2004,4569378.0
129,Liberia,LBR,2004,3135651.0
130,Libya,LBY,2004,5710154.0
131,St. Lucia,LCA,2004,161816.0
132,Latin America & Caribbean,LCN,2004,549590597.0
133,Least developed countries: UN classification,LDC,2004,726331177.0
134,Low income,LIC,2004,449765047.0
135,Liechtenstein,LIE,2004,34452.0
136,Sri Lanka,LKA,2004,19387153.0
137,Lower middle income,LMC,2004,2310951151.0
138,Low & middle income,LMY,2004,5301915964.0
139,Lesotho,LSO,2004,2005940.0
140,Late-demographic dividend,LTE,2004,2100746531.0
141,Lithuania,LTU,2004,3377075.0
142,Luxembourg,LUX,2004,458095.0
143,Latvia,LVA,2004,2263122.0
144,"Macao SAR, China",MAC,2004,471597.0
145,St. Martin (French part),MAF,2004,33186.0
146,Morocco,MAR,2004,30115214.0
147,Monaco,MCO,2004,33500.0
148,Moldova,MDA,2004,2895147.0
149,Madagascar,MDG,2004,17802997.0
150,Maldives,MDV,2004,311265.0
151,Middle East & North Africa,MEA,2004,340143481.0
152,Mexico,MEX,2004,104514932.0
153,Marshall Islands,MHL,2004,54476.0
154,Middle income,MIC,2004,4852150917.0
155,North Macedonia,MKD,2004,2057048.0
156,Mali,MLI,2004,12369070.0
157,Malta,MLT,2004,401268.0
158,Myanmar,MMR,2004,48564484.0
159,Middle East & North Africa (excluding high income),MNA,2004,299502774.0
160,Montenegro,MNE,2004,613353.0
161,Mongolia,MNG,2004,2496391.0
162,Northern Mariana Islands,MNP,2004,57246.0
163,Mozambique,MOZ,2004,19910552.0
164,Mauritania,MRT,2004,2939247.0
165,Mauritius,MUS,2004,1221003.0
166,Malawi,MWI,2004,12301838.0
167,Malaysia,MYS,2004,25190652.0
168,North America,NAC,2004,324809693.0
169,Namibia,NAM,2004,1907745.0
170,New Caledonia,NCL,2004,228750.0
171,Niger,NER,2004,13125916.0
172,Nigeria,NGA,2004,135320422.0
173,Nicaragua,NIC,2004,5364935.0
174,Netherlands,NLD,2004,16281779.0
175,Norway,NOR,2004,4591910.0
176,Nepal,NPL,2004,25419344.0
177,Nauru,NRU,2004,9902.0
178,New Zealand,NZL,2004,4087500.0
179,OECD members,OED,2004,1232647026.0
180,Oman,OMN,2004,2445517.0
181,Other small states,OSS,2004,22442101.0
182,Pakistan,PAK,2004,156664697.0
183,Panama,PAN,2004,3269356.0
184,Peru,PER,2004,27624213.0
185,Philippines,PHL,2004,84710542.0
186,Palau,PLW,2004,19867.0
187,Papua New Guinea,PNG,2004,6354245.0
188,Poland,POL,2004,38182222.0
189,Pre-demographic dividend,PRE,2004,617518671.0
190,Puerto Rico,PRI,2004,3826878.0
191,"Korea, Dem. People’s Rep.",PRK,2004,23732731.0
192,Portugal,PRT,2004,10483861.0
193,Paraguay,PRY,2004,5730549.0
194,West Bank and Gaza,PSE,2004,3236626.0
195,Pacific island small states,PSS,2004,2050572.0
196,Post-demographic dividend,PST,2004,1041075168.0
197,French Polynesia,PYF,2004,255992.0
198,Qatar,QAT,2004,753334.0
199,Romania,ROU,2004,21451748.0
200,Russian Federation,RUS,2004,144067316.0
201,Rwanda,RWA,2004,8680524.0
202,South Asia,SAS,2004,1493757846.0
203,Saudi Arabia,SAU,2004,23132682.0
204,Sudan,SDN,2004,30214193.0
205,Senegal,SEN,2004,10810083.0
206,Singapore,SGP,2004,4166664.0
207,Solomon Islands,SLB,2004,458539.0
208,Sierra Leone,SLE,2004,5433991.0
209,El Salvador,SLV,2004,6023797.0
210,San Marino,SMR,2004,28940.0
211,Somalia,SOM,2004,10130243.0
212,Serbia,SRB,2004,7463157.0
213,Sub-Saharan Africa (excluding high income),SSA,2004,737679777.0
214,South Sudan,SSD,2004,7213351.0
215,Sub-Saharan Africa,SSF,2004,738983255.0
216,Small states,SST,2004,31189626.0
217,Sao Tome and Principe,STP,2004,153737.0
218,Suriname,SUR,2004,493679.0
219,Slovak Republic,SVK,2004,5372280.0
220,Slovenia,SVN,2004,1997012.0
221,Sweden,SWE,2004,8993531.0
222,Eswatini,SWZ,2004,1026286.0
223,Sint Maarten (Dutch part),SXM,2004,32488.0
224,Seychelles,SYC,2004,82475.0
225,Syrian Arab Republic,SYR,2004,17827825.0
226,Turks and Caicos Islands,TCA,2004,26700.0
227,Chad,TCD,2004,9734767.0
228,East Asia & Pacific (IDA & IBRD countries),TEA,2004,1856486252.0
229,Europe & Central Asia (IDA & IBRD countries),TEC,2004,434022293.0
230,Togo,TGO,2004,5467766.0
231,Thailand,THA,2004,64995299.0
232,Tajikistan,TJK,2004,6662389.0
233,Turkmenistan,TKM,2004,4703401.0
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,2004,533415170.0
235,Timor-Leste,TLS,2004,971893.0
236,Middle East & North Africa (IDA & IBRD countries),TMN,2004,296266148.0
237,Tonga,TON,2004,100218.0
238,South Asia (IDA & IBRD),TSA,2004,1493757846.0
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,2004,738983255.0
240,Trinidad and Tobago,TTO,2004,1290123.0
241,Tunisia,TUN,2004,10022277.0
242,Turkey,TUR,2004,67010930.0
243,Tuvalu,TUV,2004,9869.0
244,Tanzania,TZA,2004,37379767.0
245,Uganda,UGA,2004,26821297.0
246,Ukraine,UKR,2004,47451626.0
247,Upper middle income,UMC,2004,2541199766.0
248,Uruguay,URY,2004,3321476.0
249,United States,USA,2004,292805298.0
250,Uzbekistan,UZB,2004,25864350.0
251,St. Vincent and the Grenadines,VCT,2004,108512.0
252,"Venezuela, RB",VEN,2004,25996594.0
